|brand|name|80PLUS|規格|奥行|ｹｰﾌﾞﾙ|EPS 8pin|OEM|ベースモデル|PCB|1次側方式|1次側Cap(s)|2次側方式|2次側液体Caps|2次側固体Caps|プラグイン基板Caps|ファン|ﾌｧﾝﾚｽ|備考|画像等1|画像等2|画像等3|画像等4|h
|Cooler Master|[[MasterWatt 450 MPX-4501-AMAAB-JP:https://kakaku.com/item/K0001010188/]]|Bronze|ATX|140|semi|x1|HEC|(MasterWatt)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|同期整流 + DC/DC|TEAPO 105c|FPCAP|TEAPO 105c|CM Silencio FP DF1202512RFLN|n/a|3C認証：2017010907002561|[[link:https://www.computerbase.de/2018-03/cooler-master-masterwatt-enermax-revobron-netzteil-test/2/]]|[[link:https://nl.hardware.info/product/411277/cooler-master-masterwatt-450w]]|||
|Cooler Master|[[MasterWatt 550 TUF Gaming Edition MPX-5501-AMAAB-JF:https://kakaku.com/item/K0001083772/]]|Bronze|ATX|140|semi|x1|HEC|(MasterWatt)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明 85c|同期整流 + DC/DC|? TEAPO 105c|? FPCAP|? TEAPO 105c|CM Silencio FP DF1202512RFLN|n/a|3C認証：2017010907002585|[[link:https://www.pcgameshardware.de/Netzteil-Hardware-219902/Tests/Cooler-Master-Masterwatt-550-Review-1246492/]]||||
|Cooler Master|[[MasterWatt 650 MPX-6501-AMAAB-JP:https://kakaku.com/item/K0001010190/]]|Bronze|ATX|140|semi|x1|HEC|(MasterWatt)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|同期整流 + DC/DC|TEAPO 105c|FPCAP|TEAPO 105c|CM Silencio FP DF1202512RFLN|n/a|3C認証：2017010907006836|[[link:https://www.kitguru.net/components/power-supplies/zardon/cooler-master-masterwatt-650-power-supply-review/4/]]|[[link:https://pcper.com/2018/10/cooler-master-masterwatt-650w-power-supply-review/3/]]|||
|Cooler Master|[[MasterWatt 750 MPX-7501-AMAAB-JP:https://kakaku.com/item/K0001010191/]]|Bronze|ATX|140|semi|x1|HEC|(MasterWatt)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Elite 85c|同期整流 + DC/DC|TEAPO 105c|FPCAP|TEAPO 105c|CM Silencio FP DF1202512RFLN|n/a|3C認証：2017010907006836|[[link:http://www.f14lab.com/2017/12/review-cooler-master-master-watt-750.html]]|[[link:https://i2hard.ru/publications/22367/]]|[[link:https://www.pctekreviews.com/Reviews/CMMPX750.aspx]]||
|Cooler Master|[[MWE Bronze 450 MPX-4501-ACAAB-JP:https://kakaku.com/item/K0001010185/]]|Bronze|ATX|140|fixed|x1|HEC|(MasterWatt)|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|? Elite 85c|同期整流 + DC/DC|? TEAPO 105c|? FPCAP|n/a|CM Silencio FP DF1202512RFLN|yes|3C認証：2017010907002561|||||
|Cooler Master|[[MWE Bronze 650 MPX-6501-ACAAB-JP:https://kakaku.com/item/K0001010187/]]|Bronze|ATX|140|fixed|x1|HEC|(MasterWatt)|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|Elite 85c|同期整流 + DC/DC|TEAPO 105c|FPCAP|n/a|CM Silencio FP DF1202512RFLN|yes|3C認証：2017010907006836|[[link:http://www.f14lab.com/2017/12/review-cooler-master-mwe-bronze-650-650w.html]]|[[link:https://www.coolpc.com.tw/phpBB2/viewtopic.php?f=69&t=241705&p=632368]]|||
|Cooler Master|[[MWE Gold 550 Full Modular MPY-5501-AFAAG:https://kakaku.com/item/K0001082222/]]|Gold|ATX|160|full|x1|XinHuiYuan((金金金)暉源)|不明|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|Elite 85c|同期整流 + DC/DC|Elite 105c|Elite|Elite electrolytic?|CM Silencio FP DF1202512RFLN|n/a|3C認証 : 2017010907007095|[[link:https://nl.hardware.info/artikel/8903/cooler-master-mwe-gold-voedingen-review-kan-een-80plus-gold-te-goedkoop-zijn]]|[[link:https://ru.gecid.com/power/cooler_master_mwe_gold_550/]]|||
|Cooler Master|[[MWE Gold 550 MPY-5501-ACAAG:https://kakaku.com/item/K0001083422/]]|Gold|ATX|140|fixed|x1|XinHuiYuan((金金金)暉源)|不明|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|Elite 85c|同期整流 + DC/DC|12KuangJin 105c|FPCAP|n/a|CM Silencio FP DF1202512RFLN|n/a|3C認証 : 2017010907007095|[[link:https://www.%65xpreview.com/58307-all.html]]||||
|Cooler Master|[[MWE Gold 750 Full Modular MPY-7501-AFAAG:https://kakaku.com/item/K0001082221/]]|Gold|ATX|160|full|x1|XinHuiYuan((金金金)暉源)|不明|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|Elite 85c|同期整流 + DC/DC|Elite 105c|Elite|Elite electrolytic|CM Silencio FP DF1202512RFLN|n/a|3C認証 : 2017010907007095|[[link:https://nl.hardware.info/artikel/8903/cooler-master-mwe-gold-voedingen-review-kan-een-80plus-gold-te-goedkoop-zijn]]|[[link:https://gnd-tech.com/2018/11/cooler-master-mwe-gold-750-power-supply-review/]]|[[link:https://pcper.com/2019/01/cooler-master-mwe-gold-750w-full-modular-power-supply-review/3/]]||
|Cooler Master|[[MWE Gold 750 MPY-7501-ACAAG:https://kakaku.com/item/K0001083421/]]|Gold|ATX|140|fixed|x1|XinHuiYuan((金金金)暉源)|不明|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|Elite 85c|同期整流 + DC/DC|Elite 105c|Elite|n/a|CM Silencio FP DF1202512RFLN|n/a|3C認証 : 2017010907007095|[[link:https://proclockers.com/reviews/power-supplies/cooler-master-mwe-gold-series-750w-power-supplies-review/page/0/4]]||||
|Corsair|[[CX450M CP-9020101-JP:https://kakaku.com/item/K0000866469/]]|Bronze|ATX|140|semi|x1|CWT|Corsair custom|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|同期整流 + DC/DC|chemi-con / SAMXON / Su'scon 105c|chemi-con / APAQ / Teapo|APAQ|HongHua HA1225H12F-Z(H12S-Zから変更)|n/a|https://linustechtips.com/main/topic/1018726-sleeve-bearing-durability/?tab=comments#comment-12167990|[[link:https://nl.hardware.info/artikel/6952/corsair-cx450m-review-aardige-budgetvoeding]]|[[link:https://tweakers.net/productreview/136105/corsair-cx450m.html]]|||
|Corsair|[[CX550M CP-9020102-JP:https://kakaku.com/item/K0000866468/]]|Bronze|ATX|140|semi|x1|CWT|Corsair custom|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|同期整流 + DC/DC|chemi-con / SAMXON / Su'scon 105c|chemi-con / APAQ / Teapo|APAQ|HongHua HA1225H12F-Z(H12S-Zから変更)|n/a|https://linustechtips.com/main/topic/1018726-sleeve-bearing-durability/?tab=comments#comment-12167990|[[link:https://www.hardwareinsights.com/corsair-cx550m-farewell-group-design/4/]]|[[link:https://egg.5ch.net/test/read.cgi/jisaku/1553903091/293]]|||
|Corsair|[[CX650M CP-9020103-JP:https://kakaku.com/item/K0000866467/]]|Bronze|ATX|140|semi|x1|CWT|Corsair custom|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|同期整流 + DC/DC|chemi-con / SAMXON / Su'scon 105c|chemi-con / APAQ / Teapo|APAQ|HongHua HA1225H12F-Z(H12S-Zから変更)|n/a|https://linustechtips.com/main/topic/1018726-sleeve-bearing-durability/?tab=comments#comment-12167990|[[link:https://www.tomshardware.com/reviews/corsair-cx650m-psu,4770-3.html]]||||
|Corsair|[[VS450 CP-9020170-JP:https://kakaku.com/item/K0001035636/]]|Standard|ATX|125|fixed|x1|HEC|不明|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|TEAPO 105c|n/a|n/a|Yateloon D12SH-12|n/a|3C認証：2017010907019523|[[link:https://www.computerbase.de/2019-05/corsair-vs450-test-kleines-atx-netzteil/]]||||
|Corsair|[[VS550 CP-9020171-JP:https://kakaku.com/item/K0001035637/]]|Standard|ATX|125|fixed|x1|HEC|不明|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|TEAPO 105c|n/a|n/a|Yateloon D12SH-12|n/a|3C認証：2017010907018978|||||
|Corsair|[[VS650 CP-9020172-JP:https://kakaku.com/item/K0001035638/]]|Standard|ATX|125|fixed|x1|HEC|不明|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|TEAPO 105c|n/a|n/a|Yateloon D12SH-12|n/a|3C認証：2017010907018978|[[link:https://www.tomshardware.com/reviews/corsair-vs650-psu,6017.html]]||||
|ENERMAX|[[RevoBron ERB500AWT:https://kakaku.com/item/K0001007783/]]|Bronze|ATX|140|semi|x1|CWT|CWT CSB|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c + 85c(105c?)|同期整流 + DC/DC|chemi-con 105c|Elite / APAQ|n/a|Enermax ED122512M-FD|n/a|-|[[link:https://web.archive.org/web/20190101162551/http://hardwareoverclock.com/Enermax-RevoBron-600-Watt-Netzteil-3.htm]]|[[link:http://www.jonnyguru.com/forums/showthread.php?14826-Enermax-Introduces-RevoBron-PSU-Line/page2]]|[[link:https://www.computerbase.de/2018-03/cooler-master-masterwatt-enermax-revobron-netzteil-test/2/]]||
|ENERMAX|[[RevoBron ERB600AWT:https://kakaku.com/item/K0001007784/]]|Bronze|ATX|140|semi|x1|CWT|CWT CSB|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c + 85c(105c?)|同期整流 + DC/DC|chemi-con 105c|Elite / APAQ|n/a|Enermax ED122512M-FD|n/a|-|[[link:https://www.overclockers.ua/power/enermax-revobron-erb600awt/]]|[[link:https://www.noticias3d.com/articulo.asp?idarticulo=2506&pag=2]]|[[link:https://i2hard.ru/publications/22500/]]||
|ENERMAX|[[RevoBron TGA ERB500AWT TR:https://kakaku.com/item/K0001115461/]]|Bronze|ATX|140|semi|x1|CWT|CWT CSB|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c + 85c(105c?)|同期整流 + DC/DC|chemi-con 105c|Elite / APAQ|n/a|Enermax ED122512M-FD|n/a|-|[[link:https://nl.hardware.info/product/487443/enermax-revobron-tga-500w]]||||
|ENERMAX|[[RevoBron TGA ERB600AWT TR:https://kakaku.com/item/K0001115460/]]|Bronze|ATX|140|semi|x1|CWT|CWT CSB|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c + 85c(105c?)|同期整流 + DC/DC|chemi-con 105c|Elite / APAQ|n/a|Enermax ED122512M-FD|n/a|-|[[link:https://www.hardwareluxx.ru/index.php/artikel/hardware/netzteile/46181-enermax-revobron-600w-tga-edition-test.html?start=1]]||||
|ENERMAX|[[RevoBron TGA ERB700AWT TR:https://kakaku.com/item/K0001115459/]]|Bronze|ATX|140|semi|x1|CWT|CWT CSB|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c + 85c|同期整流 + DC/DC|chemi-con 105c|Elite / APAQ|n/a|Enermax ED122512H-FD|n/a|-|[[link:https://www.techpowerup.com/review/enermax-erb700awt/]]||||
|ENERMAX|[[Revolution DUO ERD500AWL-F:https://kakaku.com/item/K0000931692/]]|Gold|ATX|140|fixed|x1|Yue-Lin|不明|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|Teapo 85c|同期整流 + DC/DC|Teapo 105c|Teapo|n/a|Enermax ED1002512L-OA + ED0801512L-OA|n/a|-|[[link:https://hlamer.ru/video/742395-Enermax_REVOLUTION_DUO_500_watt_Obzor_s_razborom]]||||
|ENERMAX|[[Revolution DUO ERD600AWL-F:https://kakaku.com/item/K0000931693/]]|Gold|ATX|140|fixed|x1|Yue-Lin|不明|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|Teapo 85c|同期整流 + DC/DC|Teapo 105c|Teapo|n/a|Enermax ED1002512L-OA + ED0801512L-OA|n/a|-|||||
|ENERMAX|[[Revolution DUO ERD700AWL-F:https://kakaku.com/item/K0000931694/]]|Gold|ATX|140|fixed|x1|Yue-Lin|不明|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|Teapo 85c|同期整流 + DC/DC|Teapo 105c|Teapo|n/a|Enermax ED1002512L-OA + ED0801512L-OA|n/a|-|[[link:https://www.hardocp.com/article/2017/02/21/enermax_revolution_duo_700w_power_supply_review/3]]|[[link:https://www.overclockers.ua/power/enermax-erd700awl-f/]]|||
|Enhance|[[FLEX 350 ENP7135B-24YGF:https://kakaku.com/item/K0000785821/]]|Gold|Flex ATX|81.5|fixed|-|Enhance|Enhance ENP7100|不明|不明|不明|不明|不明|不明|n/a|不明|n/a|-|||||
|FSP|[[AURUM 92+ 550 PT-550M:https://kakaku.com/item/K0000464414/]]|Platinum|ATX|159|semi|x1|FSP|FSP Aurum 92+ |両面|ｱｸﾃｨﾌﾞｸﾗﾝﾌﾟ|Panasonic 105c|同期整流 + DC/DC|chemi-con 105c|n/a|n/a|PROTECHNIC MGA12012HF-A25|n/a|-|[[link:https://www.59hardware.net/articles/alimentations/alimentation-fsp-aurum-92%2B-550-w-2014082516389/all.html]]|[[link:https://nl.hardware.info/product/239405/fsp-aurum-92+-550w#reviews]]|||
|FSP|[[AURUM 92+ 650 PT-650M:https://kakaku.com/item/K0000464415/]]|Platinum|ATX|159|semi|x1|FSP|FSP Aurum 92+ |両面|ｱｸﾃｨﾌﾞｸﾗﾝﾌﾟ|chemi-con 105c|同期整流 + DC/DC|chemi-con 105c|n/a|n/a|PROTECHNIC MGA12012HF-A25|n/a|-|[[link:https://www.hardwaresecrets.com/fsp-aurum-92-650-w-power-supply-review/5/]]|[[link:https://www.techpowerup.com/review/fsp-aurum-92-650w/4.html]]|[[link:https://www.tweaktown.com/reviews/5142/fsp_aurum_92_pt_650m_650w_80_plus_platinum_power_supply_review/index4.html]]|[[link:https://www.tomshardware.co.uk/fsp-aurum-92-650w-80-plus-platinum,review-33101.html]]|
|FSP|[[AURUM S 400 AS-400:https://kakaku.com/item/K0000721805/]]|Gold|ATX|150|fixed|x1|FSP|FSP Raider?|片面?|ｱｸﾃｨﾌﾞｸﾗﾝﾌﾟ|Teapo 85c?|同期整流 + 5V/3.3V一括制御|CapXon / Teapo 105c?|n/a|n/a|Yateloon D12SM-12?|n/a|これだけ仕様が違う？|[[link:https://www.cnews.cz/test-zdroju-cast-2-enermax-revolution-xt-430-w-a-fsp-aurum-s-400-w/]]|[[link:https://www.dospara.co.jp/monotech/news/8100.html]]|||
|FSP|[[AURUM S 500 AS-500:https://kakaku.com/item/K0000721806/]]|Gold|ATX|150|fixed|x1|FSP|FSP Aurum S|両面|ｱｸﾃｨﾌﾞｸﾗﾝﾌﾟ|日本メーカー 105c|同期整流 + 5V/3.3V一括制御|CapXon 105c|n/a|n/a|PROTECHNIC MGA12012HF-A25|n/a|-|[[link:https://hardwarereports.de/Testberichte/Netzteile/9/FSP_AU-500/]]|[[link:https://ascii.jp/elem/000/000/622/622094/img.html]]|||
|FSP|[[AURUM S 600 AS-600:https://kakaku.com/item/K0000721807/]]|Gold|ATX|150|fixed|x1|FSP|FSP Aurum S|両面|ｱｸﾃｨﾌﾞｸﾗﾝﾌﾟ|日本メーカー 105c|同期整流 + 5V/3.3V一括制御|CapXon 105c|n/a|n/a|PROTECHNIC MGA12012HF-A25|n/a|-|[[link:https://aphnetworks.com/reports/fsp_aurum_gold_600w/3]]|[[link:https://ascii.jp/elem/000/000/622/622094/img.html]]|||
|FSP|[[AURUM S 700 AS-700:https://kakaku.com/item/K0000721808/]]|Gold|ATX|150|fixed|x1|FSP|FSP Aurum S|両面|ｱｸﾃｨﾌﾞｸﾗﾝﾌﾟ|日本メーカー 105c|同期整流 + 5V/3.3V一括制御|CapXon 105c|n/a|n/a|PROTECHNIC MGA12012HF-A25|n/a|-|[[link:https://www.tweaktown.com/reviews/4137/fsp_aurum_gold_au_700_power_supply_review/index4.html]]|[[link:https://ascii.jp/elem/000/000/622/622094/img.html]]|||
|FSP|[[FSP300-60GHS v3.21:https://kakaku.com/item/K0000169504/]]|Standard|SFX|100|fixed|x1|FSP|FSP SFX GHS|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明 105c?|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|不明 105c|n/a|n/a|PROTECHNIC MGA8212YS-A15?|n/a|-|[[link:https://www.hardwaresecrets.com/fsp300-60ghs-power-supply-review/4/]]|[[link:https://www.hkepc.com/11068/SFX_%E8%A8%AD%E8%A8%88%E5%B0%8F%E5%9E%8B%E6%A9%9F%E7%AE%B1%E4%B9%8B%E9%81%B8_FSP300-60GHS_%E9%9B%BB%E6%BA%90%E4%BE%9B%E6%87%89%E5%99%A8]]|[[link:http://www.dont.ru/FSP-Group-FSP300-60GHS-OEM-12V-22A-80plus-SFX-FAN-80x80x15.id15892.html]]||
|FSP|[[FSP450-60GHS v3.21:https://kakaku.com/item/K0000169502/]]|Bronze|SFX|100|fixed|x1|FSP|FSP SFX GHS|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|不明 105c?|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|不明 105c|n/a|n/a|PROTECHNIC MGA8212YS-A15?|n/a|-|[[link:https://www.hkepc.com/10629/80PLUS%E9%8A%85%E7%89%8CMicro_ATX_%E8%A8%AD%E8%A8%88_FSP450-60GHS85R_%E9%9B%BB%E6%BA%90%E4%BE%9B%E6%87%89%E5%99%A8]]|[[link:https://www.techpowerup.com/forums/threads/a-peak-inside-the-fsp-450w-micro-atx-fsp450-60ghs-85-r.159878/]]|||
|FSP|[[RAIDER II 650W RA2-650:https://kakaku.com/item/K0000984298/]]|Silver|ATX|140|fixed|x1|FSP|FSP Raider II|片面|ｱｸﾃｨﾌﾞｸﾗﾝﾌﾟ|日本メーカー 105c|同期整流 + DC/DC|chemi-con / rubycon 105c|n/a|n/a|ADDA AD1212HS-A71GL|n/a|-|[[link:https://akiba-pc.watch.impress.co.jp/docs/mreview/rental/1107692.html]]||||
|FSP|[[RAIDER II 750W RA2-750:https://kakaku.com/item/K0000984299/]]|Silver|ATX|140|fixed|x1|FSP|FSP Raider II|片面|ｱｸﾃｨﾌﾞｸﾗﾝﾌﾟ|日本メーカー 105c|同期整流 + DC/DC|chemi-con / rubycon 105c|n/a|n/a|ADDA AD1212HS-A71GL|n/a|-|[[link:http://www.gdm.or.jp/review/2017/1106/239442/3]]||||
|FSP|[[RAIDER RA-500B:https://kakaku.com/item/K0001099759/]]|Bronze|ATX|140|fixed|x1|FSP|FSP Hyper|片面|ｱｸﾃｨﾌﾞｸﾗﾝﾌﾟ|CapXon 85c|12V/5V一括制御|CapXon / Teapo(+5VSB) 105c|n/a|n/a|n/a|n/a|-|[[link:https://value-kaden.com/ra-500b/]]|[[link:https://download1.getuploader.com/g/7%7Cdengensure/139/RA-500B.jpg]]|||
|GAMDIAS|[[ASTRAPE M1-650B:https://kakaku.com/item/K0001054371/]]|Bronze|ATX|140|fixed|x1|Andyson|(Xigmatek Marverick S)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|JunFu 105c|n/a|n/a|POWERYEAR PY-1225H12S|n/a|-|[[link:https://akiba-pc.watch.impress.co.jp/docs/sp/1134311.html]]|[[link:http://www.f14lab.com/2018/12/review-gamdias-astrape-m1-80plus.html]]|||
|GAMDIAS|[[KRATOS M1-600B:https://kakaku.com/item/K0001139417/]]|Bronze|ATX|140|fixed|x1|Andyson?|不明|不明|不明|不明|不明|不明|不明|n/a|不明|n/a|-|||||
|GAMDIAS|[[KRATOS P1-750G:https://kakaku.com/item/K0001193089/]]|Gold|ATX|140|semi|x1|Andyson|Andyson H6?|両面?|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|不明|同期整流 + DC/DC|不明|不明|n/a|不明|n/a|-|||||
