|※|brand|name|80PLUS|規格|奥行|ｹｰﾌﾞﾙ|EPS 8pin|OEM|ベースモデル|PCB|1次側方式|1次側Cap(s)|2次側方式|2次側液体Caps|2次側固体Caps|プラグイン基板Caps|ファン|ﾌｧﾝﾚｽ|備考|画像等1|画像等2|画像等3|画像等4|h
||ANTEC|[[NeoECO Gold NE750G:https://kakaku.com/item/K0001019734/]]|Gold|ATX|140|semi|x2|Seasonic|Seasonic Focus GM|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|日本メーカー 105c|同期整流 + DC/DC|chemi-con 105c|chemi-con|FPCAP / Enesol|&#x48;ongHua HA1225H12S-Z|n/a|-|[[link:https://wolflsi.pixnet.net/blog/post/66209493-antec-neoeco-gold%E7%B3%BB%E5%88%97750w%E9%9B%BB%E6%BA%90%E4%BE%9B%E6%87%89%E5%99%A8%E7%B0%A1%E4%BB%8B%E5%8F%8A%E6%B8%AC%E8%A9%A6]]|[[link:https://twitter.com/Yacamochi_db/status/1220947061572374530]]|||
|終売|ANTEC|[[VP550 Plus JP:https://kakaku.com/item/K0001110032/]]|Standard|ATX|140|fixed|x1|Andyson|不明|不明|不明|不明|不明|n/a|n/a|n/a|POWERYEAR?|n/a|-|||||
||ANTEC|[[NeoECO Gold NE650G M:https://kakaku.com/item/K0001358284/]]|Gold|ATX|140|full|x2|HELLY|不明|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ANTEC|[[NeoECO Gold NE750G M:https://kakaku.com/item/K0001358285/]]|Gold|ATX|140|full|x2|HELLY|不明|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ANTEC|[[NeoECO Gold NE850G M [White]:https://kakaku.com/item/K0001358287/]]|Gold|ATX|140|full|x2|HELLY|不明|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ANTEC|[[NeoECO Gold NE850G M:https://kakaku.com/item/K0001358286/]]|Gold|ATX|140|full|x2|HELLY|不明|両面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC|||||||||[[link:https://www.gdm.or.jp/review/2021/0915/408260/3]]|[[link:]]|[[link:]]|[[link:]]|
||ANTEC|[[HCG650 GOLD:https://kakaku.com/item/K0001059264/]]|Gold|ATX|140|full|x1|Seasonic|Seasonic Focus GX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ANTEC|[[HCG750 GOLD:https://kakaku.com/item/K0001059263/]]|Gold|ATX|140|full|x2|Seasonic|Seasonic Focus GX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ANTEC|[[HCG850 GOLD:https://kakaku.com/item/K0001059262/]]|Gold|ATX|140|full|x2|Seasonic|Seasonic Focus GX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ANTEC|[[HCG1000 EXTREME:https://kakaku.com/item/K0001066733/]]|Gold|ATX|160|full|x2|Seasonic|Seasonic Focus GX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
