|※|brand|name|80PLUS|規格|奥行|ｹｰﾌﾞﾙ|EPS 8pin|OEM|ベースモデル|PCB|1次側方式|1次側Cap(s)|2次側方式|2次側液体Caps|2次側固体Caps|プラグイン基板Caps|ファン|ﾌｧﾝﾚｽ|備考|画像等1|画像等2|画像等3|画像等4|h
||Cooler Master|[[MWE Gold 750 Full Modular MPY-7501-AFAAG:https://kakaku.com/item/K0001082221/]]|Gold|ATX|160|full|x1|Huizhou Xin&#x48;uiYuan((金金金)暉源)|Model:1908|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|Elite 85c|同期整流 + DC/DC|Elite 105c|Elite|Elite electrolytic|CM Silencio FP DF1202512RFLN|n/a|3C認証 : 2017010907007095|[[link:https://nl.hardware.info/artikel/8903/cooler-master-mwe-gold-voedingen-review-kan-een-80plus-gold-te-goedkoop-zijn]]|[[link:https://gnd-tech.com/2018/11/cooler-master-mwe-gold-750-power-supply-review/]]|[[link:https://pcper.com/2019/01/cooler-master-mwe-gold-750w-full-modular-power-supply-review/3/]]||
||Cooler Master|[[MWE Gold 750 MPY-7501-ACAAG:https://kakaku.com/item/K0001083421/]]|Gold|ATX|140|fixed|x1|Huizhou Xin&#x48;uiYuan((金金金)暉源)|Model:1908|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|Elite 85c|同期整流 + DC/DC|Elite 105c|Elite|n/a|CM Silencio FP DF1202512RFLN|n/a|3C認証 : 2017010907007095|[[link:https://proclockers.com/reviews/power-supplies/cooler-master-mwe-gold-series-750w-power-supplies-review/page/0/4]]||||
||Cooler Master|[[GX Gold 550 Full Modular MPE-5501-AFAAG-J1:https://kakaku.com/item/K0001407321/]]|Gold|ATX|160|full|x1|Huizhou Xin&#x48;uiYuan((金金金)暉源)|Model:1908|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[GX Gold 750 Full Modular MPE-7501-AFAAG-J1:https://kakaku.com/item/K0001407322/]]|Gold|ATX|160|full|x1|Huizhou Xin&#x48;uiYuan((金金金)暉源)|Model:1908|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[MWE Gold V2 550 Full Modular MPE-5501-AFAAG-JP:https://kakaku.com/item/K0001335614/]]|Gold|ATX|160|full|x1|Huizhou Xin&#x48;uiYuan((金金金)暉源)|Model:1908|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[MWE Gold V2 550 MPE-5501-ACAAG-JP:https://kakaku.com/item/K0001335612/]]|Gold|ATX|140|fixed|x1|Huizhou Xin&#x48;uiYuan((金金金)暉源)|Model:1908|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[MWE Gold V2 750 Full Modular MPE-7501-AFAAG-JP:https://kakaku.com/item/K0001335615/]]|Gold|ATX|160|full|x1|Huizhou Xin&#x48;uiYuan((金金金)暉源)|Model:1908|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[MWE Gold V2 750 MPE-7501-ACAAG-JP:https://kakaku.com/item/K0001335613/]]|Gold|ATX|140|fixed|x1|Huizhou Xin&#x48;uiYuan((金金金)暉源)|Model:1908|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC|||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[MWE Gold 1050 V2 MPE-A501-AFCAG-JP:https://www.coolermaster.com/catalog/power-supplies/mwe-series/mwe-gold-1050-v2-full-modular/]]|Gold|ATX|180|full|x2|Huizhou Xin&#x48;uiYuan((金金金)暉源)|Model:2012|両面||||||||||[[link:https://cdn.coolermaster.com/media/assets/1084/mwe-gold-1050-v2-full-modular-gallery-11-zoom.png]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[MWE Gold 1250 V2 MPE-C501-AFCAG-JP:https://www.coolermaster.com/catalog/power-supplies/mwe-series/mwe-gold-1250-v2-full-modular/]]|Gold|ATX|180|full|x2|Huizhou Xin&#x48;uiYuan((金金金)暉源)|Model:2012|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[V SFX Gold 550W MPY-5501-SFHAGV-JP:https://kakaku.com/item/K0001314159/]]|Gold|SFX|100|full|x1|Gospower|不明|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[V SFX Gold 650W MPY-6501-SFHAGV-JP:https://kakaku.com/item/K0001314160/]]|Gold|SFX|100|full|x1|Gospower|不明|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[V SFX Gold 750W MPY-7501-SFHAGV-JP:https://kakaku.com/item/K0001314161/]]|Gold|SFX|100|full|x1|Gospower|不明|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[V SFX Gold 850W MPY-8501-SFHAGV-JP:https://kakaku.com/item/K0001314162/]]|Gold|SFX|100|full|x1|Gospower|不明|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[V1000 PLATINUM MPZ-A001-AFBAPV-JP:https://kakaku.com/item/K0001217998/]]|Platinum|ATX|201.2|full|x1|Delta|(Antec HCP Platinum)|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[V1000 RSA00-AFBAG1-JP:https://kakaku.com/item/K0000595818/]]|Gold|ATX|170|full|x2|Seasonic|Seasonic KM3|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[V1200 Platinum RSC00-AFBAG1-JP:https://kakaku.com/item/K0000683652/]]|Platinum|ATX|190|full|x2|Seasonic|Seasonic XP3|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[V1300 PLATINUM MPZ-D001-AFBAPV-JP:https://kakaku.com/item/K0001217999/]]|Platinum|ATX|201.2|full|x1|Delta|(Antec HCP Platinum)|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[V650 Gold MPY-6501-AFAAGV-JP:https://kakaku.com/item/K0001162470/]]|Gold|ATX|160|full|x1|Chicony|(V Gold 550/650W)|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC||||Apistek SAC4H2H|||[[link:https://www.tomshardware.com/reviews/cooler-master-v650-gold-power-supply-review]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[V750 Gold MPY-7501-AFAAGV-JP:https://kakaku.com/item/K0001162471/]]|Gold|ATX|160|full|x1|Chicony|(V Gold 750/850W)|片面|ﾊｰﾌﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC||||Apistek SAC4H2H|||[[link:https://www.tomshardware.com/reviews/cooler-master-v750-gold-power-supply]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[V650 GOLD V2 MPY-650V-AFBAG-JP:https://kakaku.com/item/K0001336194/]]|Gold|ATX|160|full|x1|Gospower|不明|||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[V750 GOLD V2 MPY-750V-AFBAG-JP:https://kakaku.com/item/K0001336195/]]|Gold|ATX|160|full|x1|Gospower|不明|||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[V750 GOLD V2 White Edition MPY-750V-AGBAG-JP:https://kakaku.com/item/K0001340397/]]|Gold|ATX|160|full|x1|Gospower|不明|||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[V850 GOLD V2 MPY-850V-AFBAG-JP:https://kakaku.com/item/K0001336196/]]|Gold|ATX|160|full|x1|Gospower|不明|||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Cooler Master|[[V850 GOLD V2 White Edition MPY-850V-AGBAG-JP:https://kakaku.com/item/K0001340398/]]|Gold|ATX|160|full|x1|Gospower|不明|||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[CX450M CP-9020101-JP:https://kakaku.com/item/K0000866469/]]|Bronze|ATX|140|semi|x1|CWT|Corsair custom|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|同期整流 + DC/DC|chemi-con / SAMXON / Su'scon 105c|chemi-con / APAQ / Teapo|APAQ|&#x48;ongHua HA1225H12F-Z(H12S-Zから変更)|n/a|https://linustechtips.com/main/topic/1018726-sleeve-bearing-durability/?tab=comments#comment-12167990|[[link:https://nl.hardware.info/artikel/6952/corsair-cx450m-review-aardige-budgetvoeding]]|[[link:https://tweakers.net/productreview/136105/corsair-cx450m.html]]|||
||Corsair|[[CX550M CP-9020102-JP:https://kakaku.com/item/K0000866468/]]|Bronze|ATX|140|semi|x1|CWT|Corsair custom|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|同期整流 + DC/DC|chemi-con / SAMXON / Su'scon 105c|chemi-con / APAQ / Teapo|APAQ|&#x48;ongHua HA1225H12F-Z(H12S-Zから変更)|n/a|https://linustechtips.com/main/topic/1018726-sleeve-bearing-durability/?tab=comments#comment-12167990|[[link:https://www.hardwareinsights.com/corsair-cx550m-farewell-group-design/4/]]|[[link:https://egg.5ch.net/test/read.cgi/jisaku/1553903091/293]]|||
||Corsair|[[CX650M CP-9020103-JP:https://kakaku.com/item/K0000866467/]]|Bronze|ATX|140|semi|x1|CWT|Corsair custom|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|日本メーカー 105c|同期整流 + DC/DC|chemi-con / SAMXON / Su'scon 105c|chemi-con / APAQ / Teapo|APAQ|&#x48;ongHua HA1225H12F-Z(H12S-Zから変更)|n/a|https://linustechtips.com/main/topic/1018726-sleeve-bearing-durability/?tab=comments#comment-12167990|[[link:https://www.tomshardware.com/reviews/corsair-cx650m-psu,4770-3.html]]||||
|終売|Corsair|[[VS450 CP-9020170-JP:https://kakaku.com/item/K0001035636/]]|Standard|ATX|125|fixed|x1|HEC|(Corsair VS)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|TEAPO 105c|n/a|n/a|Yateloon D12SH-12|n/a|3C認証：2017010907019523|[[link:https://www.computerbase.de/2019-05/corsair-vs450-test-kleines-atx-netzteil/]]||||
|終売|Corsair|[[VS550 CP-9020171-JP:https://kakaku.com/item/K0001035637/]]|Standard|ATX|125|fixed|x1|HEC|(Corsair VS)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|TEAPO 105c|n/a|n/a|Yateloon D12SH-12|n/a|3C認証：2017010907018978|||||
|終売|Corsair|[[VS650 CP-9020172-JP:https://kakaku.com/item/K0001035638/]]|Standard|ATX|125|fixed|x1|HEC|(Corsair VS)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 85c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|TEAPO 105c|n/a|n/a|Yateloon D12SH-12|n/a|3C認証：2017010907018978|[[link:https://www.tomshardware.com/reviews/corsair-vs650-psu,6017.html]]||||
||Corsair|[[VS500 CP-9020223-JP:https://kakaku.com/item/K0001302682/]]|Standard|ATX|125|fixed|x1|HEC||||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[VS600 CP-9020224-JP:https://kakaku.com/item/K0001302683/]]|Standard|ATX|125|fixed|x1|HEC||||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[CV450 CP-9020209-JP:https://kakaku.com/item/K0001230906/]]|Bronze|ATX|125|fixed|x1|HEC|(Corsair VS)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|TEAPO 105c|n/a|n/a|Yateloon D12SH-12|n/a|-|[[link:http://www.coolpc.com.tw/phpBB2/viewtopic.php?f=69&t=265910]]|[[link:https://www.f14lab.com/2020/02/review-corsair-cv-series-450550w.html]]|||
||Corsair|[[CV550 CP-9020210-JP:https://kakaku.com/item/K0001230907/]]|Bronze|ATX|125|fixed|x1|HEC|(Corsair VS)|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 105c|ﾀﾞｲｵｰﾄﾞ整流 + 12V/5V一括制御|TEAPO 105c|n/a|n/a|Yateloon D12SH-12|n/a|-|[[link:https://www.f14lab.com/2020/02/review-corsair-cv-series-450550w.html]]|[[link:http://www.pcev%61.com.cn/article/4518-3.html]]|[[link:https://hardzone.es/reviews/fuentes-alimentacion/corsair-cv550/]]|[[link:https://www.profesionalreview.com/2020/02/05/corsair-cv550-review/]]|
||Corsair|[[CV650 CP-9020211-JP:https://kakaku.com/item/K0001246384/]]|Bronze|ATX|125|fixed|x1|HEC|不明|片面|ﾀﾞﾌﾞﾙﾌｫﾜｰﾄﾞ|Teapo 105c|ﾀﾞｲｵｰﾄﾞ整流 + DC/DC|TEAPO / Elite 105c|Elite|n/a|Yateloon D12SH-12|n/a|-|[[link:ftp://members.cybenetics.report/PDF_Reports/d/cybenetics_dNw.pdf]]||||
||Corsair|[[CV650 2021 CP-9020236-JP:https://kakaku.com/item/K0001359710/]]|Bronze|ATX|125|fixed|x2|HEC||||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[CV750 CP-9020237-JP:https://kakaku.com/item/K0001359711/]]|Bronze|ATX|125|fixed|x2|HEC||||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[CX450M 2021 CP-9020219-JP:https://kakaku.com/item/K0001394499/]]|Bronze|ATX|140|semi|x1|CWT||||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[CX550M 2021 CP-9020220-JP:https://kakaku.com/item/K0001394500/]]|Bronze|ATX|140|semi|x1|CWT||||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[CX650M 2021 CP-9020221-JP:https://kakaku.com/item/K0001394501/]]|Bronze|ATX|140|semi|x2|CWT||||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[CX750M 2021 CP-9020222-JP:https://kakaku.com/item/K0001394502/]]|Bronze|ATX|140|semi|x2|CWT||||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[CX550F RGB CP-9020216-JP:https://kakaku.com/item/K0001312776/]]|Silver|ATX|140|full|x1|HEC|Corsair custom||||||||||80PLUS Bronzeとして販売|[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[CX550F RGB CP-9020225-JP [White]:https://kakaku.com/item/K0001312777/]]|Silver|ATX|140|full|x1|HEC|Corsair custom||||||||||80PLUS Bronzeとして販売|[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[CX650F RGB CP-9020217-JP:https://kakaku.com/item/K0001312772/]]|Silver|ATX|140|full|x2|HEC|Corsair custom||||||||||80PLUS Bronzeとして販売|[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[CX650F RGB CP-9020226-JP [White]:https://kakaku.com/item/K0001312773/]]|Silver|ATX|140|full|x2|HEC|Corsair custom||||||||||80PLUS Bronzeとして販売|[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[CX750F RGB CP-9020218-JP:https://kakaku.com/item/K0001312774/]]|Silver|ATX|140|full|x2|HEC|Corsair custom||||||||||80PLUS Bronzeとして販売|[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[CX750F RGB CP-9020227-JP [White]:https://kakaku.com/item/K0001312775/]]|Silver|ATX|140|full|x2|HEC|Corsair custom||||||||||80PLUS Bronzeとして販売|[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM550x CP-9020177-JP:https://kakaku.com/item/K0001065309/]]|Gold|ATX|160|full|不明|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM650x CP-9020178-JP:https://kakaku.com/item/K0001064179/]]|Gold|ATX|160|full|不明|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM750x CP-9020179-JP:https://kakaku.com/item/K0001046021/]]|Gold|ATX|160|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM750x CP-9020187-JP [White]:https://kakaku.com/item/K0001120387/]]|Gold|ATX|160|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM850x CP-9020180-JP:https://kakaku.com/item/K0001054493/]]|Gold|ATX|160|full|不明|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM850x CP-9020188-JP [White]:https://kakaku.com/item/K0001120388/]]|Gold|ATX|160|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM1000x CP-9020094-JP:https://kakaku.com/item/K0000835117/]]|Gold|ATX|180|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM650 CP-9020194-JP:https://kakaku.com/item/K0001166415/]]|Gold|ATX|160|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM750 CP-9020195-JP:https://kakaku.com/item/K0001166416/]]|Gold|ATX|160|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM850 CP-9020196-JP:https://kakaku.com/item/K0001166417/]]|Gold|ATX|160|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM650 2021 CP-9020233-JP:https://kakaku.com/item/K0001394494/]]|Gold|ATX|160|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM750 2021 CP-9020234-JP:https://kakaku.com/item/K0001394495/]]|Gold|ATX|160|full|x3|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM750 White 2021 CP-9020231-JP:https://kakaku.com/item/K0001394497/]]|Gold|ATX|160|full|x3|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM850 2021 CP-9020235-JP:https://kakaku.com/item/K0001394496/]]|Gold|ATX|160|full|x3|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM850 White 2021 CP-9020232-JP:https://kakaku.com/item/K0001394498/]]|Gold|ATX|160|full|x3|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM550x 2021 CP-9020197-JP:https://kakaku.com/item/K0001394503/]]|Gold|ATX|160|full|x1|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM650x 2021 CP-9020198-JP:https://kakaku.com/item/K0001394504/]]|Gold|ATX|160|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM750x 2021 CP-9020199-JP:https://kakaku.com/item/K0001394505/]]|Gold|ATX|160|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM850x 2021 CP-9020200-JP:https://kakaku.com/item/K0001394506/]]|Gold|ATX|160|full|x3|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[RM1000x 2021 CP-9020201-JP:https://kakaku.com/item/K0001394507/]]|Gold|ATX|180|full|x3|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[SF450 CP-9020104-JP:https://kakaku.com/item/K0000875612/]]|Gold|SFX|100|full|x1|GreatWall|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[SF600 CP-9020105-JP:https://kakaku.com/item/K0000875611/]]|Gold|SFX|100|full|x1|GreatWall|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[SF450 Platinum CP-9020181-JP:https://kakaku.com/item/K0001101478/]]|Platinum|SFX|100|full|x1|GreatWall|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[SF600 Platinum CP-9020182-JP:https://kakaku.com/item/K0001101479/]]|Platinum|SFX|100|full|x1|GreatWall|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[SF750 Platinum CP-9020186-JP:https://kakaku.com/item/K0001126834/]]|Platinum|SFX|100|full|x2|GreatWall|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[HX1000 CP-9020139-JP:https://kakaku.com/item/K0000999277/]]|Platinum|ATX|180|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[HX1200 CP-9020140-JP:https://kakaku.com/item/K0000999278/]]|Platinum|ATX|200|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[HX750 CP-9020137-JP:https://kakaku.com/item/K0000999275/]]|Platinum|ATX|180|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[HX850 CP-9020138-JP:https://kakaku.com/item/K0000999276/]]|Platinum|ATX|180|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[HX750i CP-9020072-JP:https://kakaku.com/item/K0000699512/]]|Platinum|ATX|180|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[HX850i CP-9020073-JP:https://kakaku.com/item/K0000699513/]]|Platinum|ATX|180|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[HX1200i CP-9020070-JP:https://kakaku.com/item/K0000781203/]]|Platinum|ATX|200|full|x2|CWT|Corsair custom|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||Corsair|[[AX1600i CP-9020087-JP:https://kakaku.com/item/K0001048628/]]|Titanium|ATX|200|full|x2|flex||両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||COUGAR|[[GX-F AURUM 550 CGR GD-550:https://kakaku.com/item/K0001250120/]]|Gold|ATX|150|full|x2|HEC|HEC TPK|||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||COUGAR|[[GX-F AURUM 650 CGR GD-650:https://kakaku.com/item/K0001250121/]]|Gold|ATX|150|full|x2|HEC|HEC TPK|||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||COUGAR|[[GX-F AURUM 750 CGR GD-750:https://kakaku.com/item/K0001250122/]]|Gold|ATX|150|full|x2|HEC|HEC TPK|||||||||||[[link:https://quasarzone.com/bbs/qc_qsz/views/876306]]|[[link:]]|[[link:]]|[[link:]]|
||DEEPCOOL|[[DP-BZ-DA500N:https://kakaku.com/item/K0001296615/]]|Bronze|ATX|140|fixed|x1|不明|不明|片面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||DEEPCOOL|[[DP-BZ-DA600N:https://kakaku.com/item/K0001296616/]]|Bronze|ATX|140|fixed|x1|CWT|CWT GPK|片面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||DEEPCOOL|[[DP-BZ-DA700N:https://kakaku.com/item/K0001296617/]]|Bronze|ATX|140|fixed|x1|CWT|CWT GPK|片面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||DEEPCOOL|[[DP-GD-DQ750ST:https://www.deepcool.com/jp/product/powersupply/2018-07/2310_9066.shtml]]|Gold|ATX|140|fixed|x1|CWT|CWT GPS|片面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||DEEPCOOL|[[	R-PM750D-FA0B-JP:https://www.deepcool.com/jp/product/powersupply/2021-05/2310_14455.shtml]]|Gold|ATX|140|fixed|x2|CWT||片面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||DEEPCOOL|[[R-PM850D-FA0B-JP:https://jp.deepcool.com/products/PowerSupplyUnits/powersupplyunits/PM850D-80-PLUS-Gold-Power-Supply/2021/13034.shtml?status=authorization]]|Gold|ATX|140|fixed|x2|CWT||片面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||DEEPCOOL|[[DP-DQ750-M-V2L WH:https://kakaku.com/item/K0001308164/]]|Gold|ATX|160|full|x2|CWT|CWT GPX|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||DEEPCOOL|[[DP-GD-DQ650-M-V2L:https://kakaku.com/item/K0001269015/]]|Gold|ATX|160|full|x1|CWT|CWT GPX|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||DEEPCOOL|[[DP-GD-DQ750-M-V2L:https://kakaku.com/item/K0001269016/]]|Gold|ATX|160|full|x2|CWT|CWT GPX|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||DEEPCOOL|[[DP-GD-DQ850-M-V2L:https://kakaku.com/item/K0001269017/]]|Gold|ATX|160|full|x2|CWT|CWT GPX|両面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||DEEPCOOL|[[PQ750M R-PQ750M-FA0B-JP:https://kakaku.com/item/K0001408651/]]|Gold|ATX|140|full|x2|Seasonic|Seasonic Focus GX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||DEEPCOOL|[[PQ850M R-PQ850M-FA0B-JP:https://kakaku.com/item/K0001408652/]]|Gold|ATX|140|full|x2|Seasonic|Seasonic Focus GX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||DEEPCOOL|[[PQ1000M R-PQA00M-FA0B-JP:https://kakaku.com/item/K0001408653/]]|Gold|ATX|140|full|x2|Seasonic|Seasonic Focus GX|両面|ﾌﾙﾌﾞﾘｯｼﾞ LLC||同期整流 + DC/DC|||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ENERMAX|[[CYBERBRON ECB500AWT:https://kakaku.com/item/K0001314163/]]|Bronze|ATX|140|fixed|x1|CWT|CWT GPM|片面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
||ENERMAX|[[CYBERBRON ECB600AWT:https://kakaku.com/item/K0001314164/]]|Bronze|ATX|140|fixed|x1|CWT|CWT GPM|片面||||||||||[[link:]]|[[link:]]|[[link:]]|[[link:]]|
