status,brand,name,link,price,80PLUS,form factor,depth,modular,EPS8pin,OEM,platform,pcb,primary topology,primary cap(s) brand,secondary side topology,secondary electrolytic caps brand,secondary solid caps brand,modular board caps,fan,fanless mode,note,review/image_1,review/image_2,review/image_3,review/image_4
,ANTEC,NE850 Platinum,https://kakaku.com/item/K0001343160/,"¥17,380",Platinum,ATX,140,full,x2,Jiuzhou Yangguang Power Supply(九州阳光电源),,,,,,,,,,,,,,,
,ANTEC,SIGNATURE1000 Platinum,https://kakaku.com/item/K0001294083/,"¥36,615",Platinum,ATX,170,full,x2,Seasonic,,,,,,,,,,,,,,,
,ANTEC,SIGNATURE1000 Titanium,https://kakaku.com/item/K0001294082/,"¥38,664",Titanium,ATX,170,full,x2,Seasonic,,,,,,,,,,,,,,,
,ANTEC,SIGNATURE1300 Platinum,https://kakaku.com/item/K0001294084/,"¥40,606",Platinum,ATX,170,full,x2,Seasonic,,,,,,,,,,,,,,,
,Apexgaming,AG-650M,https://www.apexgaming.info/collections/power-solution/products/apexgaming-ag-650m-650w80-gold-fully-modular-power-supply-1,-,Gold,ATX,160,full,x1,Solytech,unknown,double sided,half-bridge LLC,rubycon 105c,Synchronous Rectification + DC/DC,Su'scon/Elite 105c,Beryl,Su'scon Electrolytic 105c,AMBEYOND AV-F14025LS,n/a,2次側TEAPOの例も？,https://www.nikktech.com/main/articles/pc-hardware/power-supplies/9788-apexgaming-ag-650m-650w-power-supply-unit-review?start=4,https://www.coolpc.com.tw/phpBB2/viewtopic.php?f=69&t=249980,https://www.overclockzone.com/ApexgamingAG-650M,-
,Apexgaming,AG-750M,https://www.apexgaming.info/collections/power-solution/products/apexgaming-ag-750m-750w-80-gold-fully-modular-power-supply,-,Gold,ATX,160,full,x1,Solytech,unknown,double sided,half-bridge LLC,rubycon 105c,Synchronous Rectification + DC/DC,Su'scon/Elite 105c,Beryl,TEAPO or Su'scon Electrolytic 105c,AMBEYOND AV-F14025MB,n/a,2次側TEAPOの例も？,https://www.%65xpreview.com/68641.html,http://www.gdm.or.jp/review/2019/0912/319342/3,http://www.%65lecfans.com/d/922339.html,-
,Apexgaming,AG-850M,https://www.apexgaming.info/collections/power-solution/products/apexgaming-ag-850m-850w-80-gold-fully-modular-power-supply,-,Gold,ATX,160,full,x2,Solytech,unknown,double sided,half-bridge LLC,rubycon 105c,Synchronous Rectification + DC/DC,Su'scon/Elite 105c,Beryl,Su'scon Electrolytic 105c,AMBEYOND AV-F14025HS,n/a,2次側TEAPOの例も？,https://www.techpowerup.com/review/apexgaming-ag-850m/4.html,https://underdesktop.com/review-apex-gaming-ag-850m-80-plus-gold-tsunami/,-,-
,ASUS,ROG-STRIX-650W-GOLD,https://kakaku.com/item/K0001278870/,"¥12,460",Gold,ATX,160,full,x2,Seasonic,,,,,,,,,,,,,,,
,ASUS,ROG-STRIX-750W-GOLD,https://kakaku.com/item/K0001278871/,"¥16,707",Gold,ATX,160,full,x2,Seasonic,,,,,,,,,,,,,,,
,ASUS,ROG-STRIX-850W-GOLD,https://kakaku.com/item/K0001278872/,"¥17,250",Gold,ATX,160,full,x2,Seasonic,,,,,,,,,,,,,,,
,ASUS,ROG-STRIX-850W-WHITE-EDITION,https://kakaku.com/item/K0001278873/,"¥20,581",Gold,ATX,160,full,x2,Seasonic,,,,,,,,,,,,,,,
,ASUS,ROG-STRIX-1000W-GOLD,https://kakaku.com/item/K0001294081/,"¥22,727",Gold,ATX,160,full,x2,Seasonic,,,,,,,,,,,,,,,
,ASUS,ROG-THOR-850P,https://kakaku.com/item/K0001109462/,"¥34,100",Platinum,ATX,160,full,x2,Seasonic,,,,,,,,,,,,,,,
,ASUS,ROG-THOR-1200P,https://kakaku.com/item/K0001109461/,"¥45,954",Platinum,ATX,190,full,x2,Seasonic,,,,,,,,,,,,,,,
,ASUS,ROG-THOR-1000P2-GAMING,https://kakaku.com/item/K0001410652/,"¥48,800",Platinum,ATX,190,full,x2,Seasonic,,,,,,,,,,,,,,,
discontinued,Cooler Master,MasterWatt 450 MPX-4501-AMAAB-JP,https://kakaku.com/item/K0001010188/,"¥5,880",Bronze,ATX,140,semi,x1,HEC,(MasterWatt),single sided,double forward,Teapo 85c,Passive Rectification + DC/DC,TEAPO 105c,FPCAP,TEAPO 105c,CM Silencio FP DF1202512RFLN,n/a,3C認証：2017010907002561,https://www.computerbase.de/2018-03/cooler-master-masterwatt-enermax-revobron-netzteil-test/2/,https://nl.hardware.info/product/411277/cooler-master-masterwatt-450w,-,-
,Cooler Master,MasterWatt 550 TUF Gaming Edition MPX-5501-AMAAB-JF,https://kakaku.com/item/K0001083772/,"¥6,464",Bronze,ATX,140,semi,x1,HEC,(MasterWatt),single sided,double forward,unknown 85c,Passive Rectification + DC/DC,? TEAPO 105c,? FPCAP,? TEAPO 105c,CM Silencio FP DF1202512RFLN,n/a,3C認証：2017010907002585,https://www.pcgameshardware.de/Netzteil-Hardware-219902/Tests/Cooler-Master-Masterwatt-550-Review-1246492/,-,-,-
discontinued,Cooler Master,MasterWatt 650 MPX-6501-AMAAB-JP,https://kakaku.com/item/K0001010190/,"¥7,799",Bronze,ATX,140,semi,x1,HEC,(MasterWatt),single sided,double forward,Teapo 85c,Passive Rectification + DC/DC,TEAPO 105c,FPCAP,TEAPO 105c,CM Silencio FP DF1202512RFLN,n/a,3C認証：2017010907006836,https://www.kitguru.net/components/power-supplies/zardon/cooler-master-masterwatt-650-power-supply-review/4/,https://pcper.com/2018/10/cooler-master-masterwatt-650w-power-supply-review/3/,-,-
discontinued,Cooler Master,MasterWatt 750 MPX-7501-AMAAB-JP,https://kakaku.com/item/K0001010191/,"¥8,788",Bronze,ATX,140,semi,x1,HEC,(MasterWatt),single sided,double forward,Elite 85c,Passive Rectification + DC/DC,TEAPO 105c,FPCAP,TEAPO 105c,CM Silencio FP DF1202512RFLN,n/a,3C認証：2017010907006836,http://www.f14lab.com/2017/12/review-cooler-master-master-watt-750.html,https://i2hard.ru/publications/22367/,https://www.pctekreviews.com/Reviews/CMMPX750.aspx,-
,Cooler Master,MWE 450 Bronze-V2 MPE-4501-ACAAB-JP,https://kakaku.com/item/K0001217996/,"¥5,240",Bronze,ATX,140,fixed,x1,Gospower,unknown,single sided,half-bridge LLC,Elite 85c,Synchronous Rectification + DC/DC,Elite 105c,CapXon,n/a,DF1202512SELN,yes,https://ru.gecid.com/power/cooler_master_mwe_bronze_650/,-,-,-,-
,Cooler Master,MWE 550 Bronze-V2 MPE-5501-ACAAB-JP,https://kakaku.com/item/K0001217997/,"¥5,400",Bronze,ATX,140,fixed,x1,Gospower,unknown,single sided,half-bridge LLC,Elite 85c,Synchronous Rectification + DC/DC,Elite 105c,CapXon,n/a,DF1202512SELN,yes,https://ru.gecid.com/power/cooler_master_mwe_bronze_650/,ftp://members.cybenetics.report/PDF_Reports/d/cybenetics_Jv8.pdf,-,-,-
discontinued,Cooler Master,MWE Bronze 450 MPX-4501-ACAAB-JP,https://kakaku.com/item/K0001010185/,"¥4,620",Bronze,ATX,140,fixed,x1,HEC,(MasterWatt),single sided,double forward,? Elite 85c,Passive Rectification + DC/DC,? TEAPO 105c,? FPCAP,n/a,CM Silencio FP DF1202512RFLN,yes,3C認証：2017010907002561,-,-,-,-
discontinued,Cooler Master,MWE Bronze 650 MPX-6501-ACAAB-JP,https://kakaku.com/item/K0001010187/,"¥8,561",Bronze,ATX,140,fixed,x1,HEC,(MasterWatt),single sided,double forward,Elite 85c,Passive Rectification + DC/DC,TEAPO 105c,FPCAP,n/a,CM Silencio FP DF1202512RFLN,yes,3C認証：2017010907006836,http://www.f14lab.com/2017/12/review-cooler-master-mwe-bronze-650-650w.html,https://www.coolpc.com.tw/phpBB2/viewtopic.php?f=69&t=241705&p=632368,-,-
,Cooler Master,G600 Gold MPW-6001-ACAAG-JP,https://kakaku.com/item/K0001407323/,"¥8,920",Gold,ATX,140,fixed,x1,Huizhou XinHuiYuan(鑫晖源),,,,,,,,,,,,,,,
,Cooler Master,G800 Gold MPW-8001-ACAAG-JP,https://kakaku.com/item/K0001407324/,"¥10,580",Gold,ATX,140,fixed,x1,Huizhou XinHuiYuan(鑫晖源),,,,,,,,,,,,,,,
,Cooler Master,MWE Gold 550 Full Modular MPY-5501-AFAAG,https://kakaku.com/item/K0001082222/,"¥8,452",Gold,ATX,160,full,x1,Huizhou XinHuiYuan(鑫晖源),unknown,double sided,full-bridge LLC,Elite 85c,Synchronous Rectification + DC/DC,Elite 105c,Elite,Elite electrolytic?,CM Silencio FP DF1202512RFLN,n/a,3C認証 : 2017010907007095,https://nl.hardware.info/artikel/8903/cooler-master-mwe-gold-voedingen-review-kan-een-80plus-gold-te-goedkoop-zijn,https://ru.gecid.com/power/cooler_master_mwe_gold_550/,-,-
discontinued,Cooler Master,MWE Gold 550 MPY-5501-ACAAG,https://kakaku.com/item/K0001083422/,"¥6,905",Gold,ATX,140,fixed,x1,Huizhou XinHuiYuan(鑫晖源),unknown,double sided,full-bridge LLC,Elite 85c,Synchronous Rectification + DC/DC,12KuangJin 105c,FPCAP,n/a,CM Silencio FP DF1202512RFLN,n/a,3C認証 : 2017010907007095,https://www.%65xpreview.com/58307-all.html,-,-,-
,Cooler Master,MWE Gold 750 Full Modular MPY-7501-AFAAG,https://kakaku.com/item/K0001082221/,"¥9,630",Gold,ATX,160,full,x1,Huizhou XinHuiYuan(鑫晖源),unknown,double sided,full-bridge LLC,Elite 85c,Synchronous Rectification + DC/DC,Elite 105c,Elite,Elite electrolytic,CM Silencio FP DF1202512RFLN,n/a,3C認証 : 2017010907007095,https://nl.hardware.info/artikel/8903/cooler-master-mwe-gold-voedingen-review-kan-een-80plus-gold-te-goedkoop-zijn,https://gnd-tech.com/2018/11/cooler-master-mwe-gold-750-power-supply-review/,https://pcper.com/2019/01/cooler-master-mwe-gold-750w-full-modular-power-supply-review/3/,-
,Cooler Master,MWE Gold 750 MPY-7501-ACAAG,https://kakaku.com/item/K0001083421/,"¥9,511",Gold,ATX,140,fixed,x1,Huizhou XinHuiYuan(鑫晖源),unknown,double sided,full-bridge LLC,Elite 85c,Synchronous Rectification + DC/DC,Elite 105c,Elite,n/a,CM Silencio FP DF1202512RFLN,n/a,3C認証 : 2017010907007095,https://proclockers.com/reviews/power-supplies/cooler-master-mwe-gold-series-750w-power-supplies-review/page/0/4,-,-,-
,Cooler Master,GX Gold 550 Full Modular MPE-5501-AFAAG-J1,https://kakaku.com/item/K0001407321/,"¥9,870",Gold,ATX,160,full,x1,Huizhou XinHuiYuan(鑫晖源),,,,,,,,,,,,,,,
,Cooler Master,GX Gold 750 Full Modular MPE-7501-AFAAG-J1,https://kakaku.com/item/K0001407322/,"¥11,780",Gold,ATX,160,full,x1,Huizhou XinHuiYuan(鑫晖源),,,,,,,,,,,,,,,
,Cooler Master,MWE Gold V2 550 Full Modular MPE-5501-AFAAG-JP,https://kakaku.com/item/K0001335614/,"¥8,980",Gold,ATX,160,full,x1,Huizhou XinHuiYuan(鑫晖源),,,,,,,,,,,,,,,
,Cooler Master,MWE Gold V2 550 MPE-5501-ACAAG-JP,https://kakaku.com/item/K0001335612/,"¥7,576",Gold,ATX,140,fixed,x1,Huizhou XinHuiYuan(鑫晖源),,,,,,,,,,,,,,,
,Cooler Master,MWE Gold V2 750 Full Modular MPE-7501-AFAAG-JP,https://kakaku.com/item/K0001335615/,"¥9,980",Gold,ATX,160,full,x1,Huizhou XinHuiYuan(鑫晖源),,,,,,,,,,,,,,,
,Cooler Master,MWE Gold V2 750 MPE-7501-ACAAG-JP,https://kakaku.com/item/K0001335613/,"¥9,480",Gold,ATX,140,fixed,x1,Huizhou XinHuiYuan(鑫晖源),,,,,,,,,,,,,,,
,Cooler Master,V SFX Gold 550W MPY-5501-SFHAGV-JP,https://kakaku.com/item/K0001314159/,"¥11,058",Gold,SFX,100,full,x1,Gospower,,,,,,,,,,,,,,,
,Cooler Master,V SFX Gold 650W MPY-6501-SFHAGV-JP,https://kakaku.com/item/K0001314160/,"¥11,859",Gold,SFX,100,full,x1,Gospower,,,,,,,,,,,,,,,
,Cooler Master,V SFX Gold 750W MPY-7501-SFHAGV-JP,https://kakaku.com/item/K0001314161/,"¥13,178",Gold,SFX,100,full,x1,Gospower,,,,,,,,,,,,,,,
,Cooler Master,V SFX Gold 850W MPY-8501-SFHAGV-JP,https://kakaku.com/item/K0001314162/,"¥13,980",Gold,SFX,100,full,x1,Gospower,,,,,,,,,,,,,,,
,Cooler Master,V1000 PLATINUM MPZ-A001-AFBAPV-JP,https://kakaku.com/item/K0001217998/,"¥26,859",Platinum,ATX,201.2,full,x1,Delta,,,,,,,,,,,,,,,
,Cooler Master,V1000 RSA00-AFBAG1-JP,https://kakaku.com/item/K0000595818/,"¥15,980",Gold,ATX,170,full,x2,Seasonic,,,,,,,,,,,,,,,
,Cooler Master,V1200 Platinum RSC00-AFBAG1-JP,https://kakaku.com/item/K0000683652/,"¥19,980",Platinum,ATX,190,full,x2,Seasonic,,,,,,,,,,,,,,,
,Cooler Master,V1300 PLATINUM MPZ-D001-AFBAPV-JP,https://kakaku.com/item/K0001217999/,"¥31,117",Platinum,ATX,201.2,full,x1,Delta,,,,,,,,,,,,,,,
,Cooler Master,V650 Gold MPY-6501-AFAAGV-JP,https://kakaku.com/item/K0001162470/,"¥8,800",Gold,ATX,160,full,x1,Chicony,,,,,,,,,,,,,,,
,Cooler Master,V750 Gold MPY-7501-AFAAGV-JP,https://kakaku.com/item/K0001162471/,"¥14,064",Gold,ATX,160,full,x1,Chicony,,,,,,,,,,,,,,,
,Cooler Master,V650 GOLD V2 MPY-650V-AFBAG-JP,https://kakaku.com/item/K0001336194/,"¥11,864",Gold,ATX,160,full,x1,Gospower,,,,,,,,,,,,,,,
,Cooler Master,V750 GOLD V2 MPY-750V-AFBAG-JP,https://kakaku.com/item/K0001336195/,"¥12,400",Gold,ATX,160,full,x1,Gospower,,,,,,,,,,,,,,,
,Cooler Master,V750 GOLD V2 White Edition MPY-750V-AGBAG-JP,https://kakaku.com/item/K0001340397/,"¥12,480",Gold,ATX,160,full,x1,Gospower,,,,,,,,,,,,,,,
,Cooler Master,V850 GOLD V2 MPY-850V-AFBAG-JP,https://kakaku.com/item/K0001336196/,"¥14,252",Gold,ATX,160,full,x1,Gospower,,,,,,,,,,,,,,,
,Cooler Master,V850 GOLD V2 White Edition MPY-850V-AGBAG-JP,https://kakaku.com/item/K0001340398/,"¥13,618",Gold,ATX,160,full,x1,Gospower,,,,,,,,,,,,,,,
,Corsair,CX450M CP-9020101-JP,https://kakaku.com/item/K0000866469/,"¥4,879",Bronze,ATX,140,semi,x1,CWT,Corsair custom,single sided,double forward,japanese 105c,Synchronous Rectification + DC/DC,chemi-con/SAMXON/Su'scon 105c,chemi-con/APAQ/Teapo,APAQ,HongHua HA1225H12F-Z(H12S-Zから変更),n/a,https://linustechtips.com/main/topic/1018726-sleeve-bearing-durability/?tab=comments#comment-12167990,https://nl.hardware.info/artikel/6952/corsair-cx450m-review-aardige-budgetvoeding,https://tweakers.net/productreview/136105/corsair-cx450m.html,-,-
,Corsair,CX550M CP-9020102-JP,https://kakaku.com/item/K0000866468/,"¥6,105",Bronze,ATX,140,semi,x1,CWT,Corsair custom,single sided,double forward,japanese 105c,Synchronous Rectification + DC/DC,chemi-con/SAMXON/Su'scon 105c,chemi-con/APAQ/Teapo,APAQ,HongHua HA1225H12F-Z(H12S-Zから変更),n/a,https://linustechtips.com/main/topic/1018726-sleeve-bearing-durability/?tab=comments#comment-12167990,https://www.hardwareinsights.com/corsair-cx550m-farewell-group-design/4/,https://egg.5ch.net/test/read.cgi/jisaku/1553903091/293,-,-
,Corsair,CX650M CP-9020103-JP,https://kakaku.com/item/K0000866467/,"¥6,486",Bronze,ATX,140,semi,x1,CWT,Corsair custom,single sided,double forward,japanese 105c,Synchronous Rectification + DC/DC,chemi-con/SAMXON/Su'scon 105c,chemi-con/APAQ/Teapo,APAQ,HongHua HA1225H12F-Z(H12S-Zから変更),n/a,https://linustechtips.com/main/topic/1018726-sleeve-bearing-durability/?tab=comments#comment-12167990,"https://www.tomshardware.com/reviews/corsair-cx650m-psu,4770-3.html",-,-,-
discontinued,Corsair,VS450 CP-9020170-JP,https://kakaku.com/item/K0001035636/,"¥5,575",Standard,ATX,125,fixed,x1,HEC,(Corsair VS),single sided,double forward,Teapo 85c,Passive Rectification + Group Regulation,TEAPO 105c,n/a,n/a,Yateloon D12SH-12,n/a,3C認証：2017010907019523,https://www.computerbase.de/2019-05/corsair-vs450-test-kleines-atx-netzteil/,-,-,-
discontinued,Corsair,VS550 CP-9020171-JP,https://kakaku.com/item/K0001035637/,"¥6,968",Standard,ATX,125,fixed,x1,HEC,(Corsair VS),single sided,double forward,Teapo 85c,Passive Rectification + Group Regulation,TEAPO 105c,n/a,n/a,Yateloon D12SH-12,n/a,3C認証：2017010907018978,-,-,-,-
discontinued,Corsair,VS650 CP-9020172-JP,https://kakaku.com/item/K0001035638/,"¥8,077",Standard,ATX,125,fixed,x1,HEC,(Corsair VS),single sided,double forward,Teapo 85c,Passive Rectification + Group Regulation,TEAPO 105c,n/a,n/a,Yateloon D12SH-12,n/a,3C認証：2017010907018978,"https://www.tomshardware.com/reviews/corsair-vs650-psu,6017.html",-,-,-
,Corsair,VS500 CP-9020223-JP,https://kakaku.com/item/K0001302682/,"¥6,372",Standard,ATX,125,fixed,x1,HEC,,,,,,,,,,,,,,,
,Corsair,VS600 CP-9020224-JP,https://kakaku.com/item/K0001302683/,"¥5,470",Standard,ATX,125,fixed,x1,HEC,,,,,,,,,,,,,,,
,Corsair,CV450 CP-9020209-JP,https://kakaku.com/item/K0001230906/,"¥4,625",Bronze,ATX,125,fixed,x1,HEC,(Corsair VS),single sided,double forward,Teapo 105c,Passive Rectification + Group Regulation,TEAPO 105c,n/a,n/a,Yateloon D12SH-12,n/a,-,http://www.coolpc.com.tw/phpBB2/viewtopic.php?f=69&t=265910,https://www.f14lab.com/2020/02/review-corsair-cv-series-450550w.html,-,-
,Corsair,CV550 CP-9020210-JP,https://kakaku.com/item/K0001230907/,"¥4,980",Bronze,ATX,125,fixed,x1,HEC,(Corsair VS),single sided,double forward,Teapo 105c,Passive Rectification + Group Regulation,TEAPO 105c,n/a,n/a,Yateloon D12SH-12,n/a,-,https://www.f14lab.com/2020/02/review-corsair-cv-series-450550w.html,http://www.pcev%61.com.cn/article/4518-3.html,https://hardzone.es/reviews/fuentes-alimentacion/corsair-cv550/,https://www.profesionalreview.com/2020/02/05/corsair-cv550-review/
,Corsair,CV650 CP-9020211-JP,https://kakaku.com/item/K0001246384/,"¥6,980",Bronze,ATX,125,fixed,x1,HEC,unknown,single sided,double forward,Teapo 105c,Passive Rectification + DC/DC,TEAPO/Elite 105c,Elite,n/a,Yateloon D12SH-12,n/a,-,ftp://members.cybenetics.report/PDF_Reports/d/cybenetics_dNw.pdf,-,-,-
,Corsair,CV650 2021 CP-9020236-JP,https://kakaku.com/item/K0001359710/,"¥6,980",Bronze,ATX,125,fixed,x2,HEC,,,,,,,,,,,,,,,
,Corsair,CV750 CP-9020237-JP,https://kakaku.com/item/K0001359711/,"¥6,842",Bronze,ATX,125,fixed,x2,HEC,,,,,,,,,,,,,,,
,Corsair,CX450M 2021 CP-9020219-JP,https://kakaku.com/item/K0001394499/,"¥6,569",Bronze,ATX,140,semi,x1,CWT,,,,,,,,,,,,,,,
,Corsair,CX550M 2021 CP-9020220-JP,https://kakaku.com/item/K0001394500/,"¥7,850",Bronze,ATX,140,semi,x1,CWT,,,,,,,,,,,,,,,
,Corsair,CX650M 2021 CP-9020221-JP,https://kakaku.com/item/K0001394501/,"¥8,235",Bronze,ATX,140,semi,x2,CWT,,,,,,,,,,,,,,,
,Corsair,CX750M 2021 CP-9020222-JP,https://kakaku.com/item/K0001394502/,"¥10,463",Bronze,ATX,140,semi,x2,CWT,,,,,,,,,,,,,,,
,Corsair,CX550F RGB CP-9020216-JP,https://kakaku.com/item/K0001312776/,"¥9,102",Bronze,ATX,140,full,x1,HEC,,,,,,,,,,,,,,,
,Corsair,CX550F RGB CP-9020225-JP [White],https://kakaku.com/item/K0001312777/,"¥10,055",Bronze,ATX,140,full,x1,HEC,,,,,,,,,,,,,,,
,Corsair,CX650F RGB CP-9020217-JP,https://kakaku.com/item/K0001312772/,"¥9,460",Bronze,ATX,140,full,x2,HEC,,,,,,,,,,,,,,,
,Corsair,CX650F RGB CP-9020226-JP [White],https://kakaku.com/item/K0001312773/,"¥12,188",Bronze,ATX,140,full,x2,HEC,,,,,,,,,,,,,,,
,Corsair,CX750F RGB CP-9020218-JP,https://kakaku.com/item/K0001312774/,"¥11,009",Bronze,ATX,140,full,x2,HEC,,,,,,,,,,,,,,,
,Corsair,CX750F RGB CP-9020227-JP [White],https://kakaku.com/item/K0001312775/,"¥13,364",Bronze,ATX,140,full,x2,HEC,,,,,,,,,,,,,,,
,Corsair,RM550x CP-9020177-JP,https://kakaku.com/item/K0001065309/,"¥7,255",Gold,ATX,160,full,Unknown,CWT,,,,,,,,,,,,,,,
,Corsair,RM650x CP-9020178-JP,https://kakaku.com/item/K0001064179/,"¥8,980",Gold,ATX,160,full,Unknown,CWT,,,,,,,,,,,,,,,
,Corsair,RM750x CP-9020179-JP,https://kakaku.com/item/K0001046021/,"¥10,480",Gold,ATX,160,full,x2,CWT,,,,,,,,,,,,,,,
